family,result,window,years,sharpe,reported,ci95_lo,ci95_hi,verdict,rules_out_target_2,note
multi-asset hold-out,book,2018-01..2026-09,8.7,-0.02,,-0.7,0.7,vacuous (cannot rule out Sharpe >= 0.5),True,excess returns as saved
multi-asset hold-out,fx_carry,2018-01..2026-09,8.7,0.25,,-0.2,0.73,vacuous (cannot rule out Sharpe >= 0.5),True,excess returns as saved
multi-asset hold-out,bond_carry,2018-01..2026-09,8.7,0.13,,-0.47,0.74,vacuous (cannot rule out Sharpe >= 0.5),True,excess returns as saved
multi-asset hold-out,vix_basis,2018-01..2026-09,8.7,0.29,,-0.35,0.96,vacuous (cannot rule out Sharpe >= 0.5),True,excess returns as saved
multi-asset hold-out,tsmom_broad,2018-01..2026-09,8.7,0.21,,-0.59,1.06,vacuous (cannot rule out Sharpe >= 0.5),True,excess returns as saved
multi-asset hold-out,overnight_intraday_reversal,2018-01..2026-09,8.7,-0.59,,-1.23,0.05,bounded null (rules out Sharpe >= 0.5),True,excess returns as saved
PEAD hold-out,pead_model,2004..2014,11.0,0.52,0.52,0.06,1.08,positive (interval excludes 0),True,
PEAD hold-out,all_events_control,2004..2014,11.0,0.36,,-0.1,0.88,vacuous (cannot rule out Sharpe >= 0.5),True,
higher_sharpe evaluation,low_vol_long,2024-01..2025-06,1.5,0.89,,-0.53,2.55,vacuous (cannot rule out Sharpe >= 0.5),False,
higher_sharpe evaluation,liquid_equal_weight,2024-01..2025-06,1.5,0.62,,-0.73,2.15,vacuous (cannot rule out Sharpe >= 0.5),False,
higher_sharpe evaluation,defensive_momentum_blend,2024-01..2025-06,1.5,0.7,,-0.81,2.42,vacuous (cannot rule out Sharpe >= 0.5),False,
higher_sharpe evaluation,residual_momentum,2024-01..2025-06,1.5,0.24,,-1.24,1.64,vacuous (cannot rule out Sharpe >= 0.5),True,
higher_sharpe evaluation,low_beta_spread,2024-01..2025-06,1.5,0.42,,-1.0,1.75,vacuous (cannot rule out Sharpe >= 0.5),True,
higher_sharpe evaluation,SPY_control,2024-01..2025-06,1.5,0.72,,-0.59,2.23,vacuous (cannot rule out Sharpe >= 0.5),False,
ETF convergence validation,LQD_IEF,2014..2017,4.0,-2.31,,-3.4,-1.31,bounded null (rules out Sharpe >= 0.5),True,
ETF convergence validation,EFA_EEM,2014..2017,4.0,0.23,,-0.52,1.0,vacuous (cannot rule out Sharpe >= 0.5),True,
ETF convergence validation,GLD_SLV,2014..2017,4.0,0.14,,-0.8,1.05,vacuous (cannot rule out Sharpe >= 0.5),True,
ETF convergence validation,SPY_QQQ,2014..2017,4.0,-0.27,,-0.97,0.49,bounded null (rules out Sharpe >= 0.5),True,
ETF convergence validation,fixed_blend,2014..2017,4.0,-0.39,,-1.2,0.44,bounded null (rules out Sharpe >= 0.5),True,
FX session validation,london_reversal,2014..2017,4.1,-0.92,,-1.82,0.01,bounded null (rules out Sharpe >= 0.5),True,rf = 0 definition
FX session validation,new_york_continuation,2014..2017,4.1,-0.84,,-1.65,0.02,bounded null (rules out Sharpe >= 0.5),True,rf = 0 definition
crypto hold-out,crypto_tsmom_1w,2022..2026-09,4.72,0.131,0.131,-0.77,1.03,vacuous (cannot rule out Sharpe >= 0.5),True,iid interval: daily series not saved
crypto hold-out,crypto_tsmom_multi,2022..2026-09,4.72,0.17,0.17,-0.73,1.07,vacuous (cannot rule out Sharpe >= 0.5),True,iid interval: daily series not saved
crypto hold-out,crypto_trend_long_only,2022..2026-09,4.72,0.397,0.397,-0.51,1.3,vacuous (cannot rule out Sharpe >= 0.5),True,iid interval: daily series not saved
